
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                   4424 Services                   0      1,624 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                   5352 Services                   0      2,128 K Unknown         N/A                                                     0:00:01 N/A                                                                     
chrome.exe                    5492 Console                    1        760 K Unknown         NIKKI\abc                                               0:00:00 N/A                                                                     
taskhost.exe                  3332 Console                    1        388 K Running         NIKKI\abc                                               0:00:00 Task Host Window                                                        
chrome.exe                    5824 Console                    1     46,892 K Unknown         NIKKI\abc                                               0:37:54 N/A                                                                     
chrome.exe                    4896 Console                    1      9,924 K Unknown         NIKKI\abc                                               0:04:10 N/A                                                                     
OSPPSVC.EXE                   3016 Services                   0      6,256 K Unknown         N/A                                                     0:00:04 N/A                                                                     
chrome.exe                    6352 Console                    1      1,844 K Unknown         NIKKI\abc                                               0:00:01 N/A                                                                     
Fiddler.exe                   7360 Console                    1    221,776 K Running         NIKKI\abc                                               0:16:32 Fiddler Web Debugger                                                    
PresentationFontCache.exe     2620 Services                   0        888 K Unknown         N/A                                                     0:00:00 N/A                                                                     
chrome.exe                    6220 Console                    1     21,512 K Unknown         NIKKI\abc                                               0:00:27 N/A                                                                     
chrome.exe                    5368 Console                    1      1,944 K Unknown         NIKKI\abc                                               0:00:03 N/A                                                                     
chrome.exe                    8056 Console                    1     43,012 K Unknown         NIKKI\abc                                               0:03:08 N/A                                                                     
chrome.exe                    3244 Console                    1     59,944 K Unknown         NIKKI\abc                                               0:23:17 N/A                                                                     
chrome.exe                    4648 Console                    1    129,256 K Unknown         NIKKI\abc                                               0:00:36 N/A                                                                     
chrome.exe                    3240 Console                    1     62,612 K Unknown         NIKKI\abc                                               0:04:13 N/A                                                                     
chrome.exe                    5388 Console                    1     85,572 K Unknown         NIKKI\abc                                               0:11:47 N/A                                                                     
chrome.exe                    6480 Console                    1      1,776 K Unknown         NIKKI\abc                                               0:00:01 N/A                                                                     
chrome.exe                    3220 Console                    1      8,784 K Unknown         NIKKI\abc                                               0:00:04 N/A                                                                     
chrome.exe                    5752 Console                    1      2,368 K Unknown         NIKKI\abc                                               0:00:02 N/A                                                                     
chrome.exe                    5516 Console                    1      9,380 K Unknown         NIKKI\abc                                               0:00:08 N/A                                                                     
chrome.exe                    4132 Console                    1      5,632 K Unknown         NIKKI\abc                                               0:00:01 N/A                                                                     
netbeans.exe                  4592 Console                    1    316,868 K Running         NIKKI\abc                                               0:33:13 Random - NetBeans IDE 8.0                                               
chrome.exe                    7448 Console                    1      5,792 K Unknown         NIKKI\abc                                               0:00:04 N/A                                                                     
chrome.exe                    4796 Console                    1     31,864 K Unknown         NIKKI\abc                                               0:02:12 N/A                                                                     
chrome.exe                    4976 Console                    1     58,712 K Unknown         NIKKI\abc                                               0:02:55 N/A                                                                     
chrome.exe                    6068 Console                    1     39,844 K Unknown         NIKKI\abc                                               0:04:31 N/A                                                                     
notepad.exe                   7808 Console                    1      6,592 K Running         NIKKI\abc                                               0:00:03 Malicious_list - Notepad                                                
notepad.exe                   6104 Console                    1      5,744 K Running         NIKKI\abc                                               0:00:01 Normal_list - Notepad                                                   
chrome.exe                    7184 Console                    1    166,504 K Unknown         NIKKI\abc                                               0:04:14 N/A                                                                     
chrome.exe                    6856 Console                    1     59,432 K Unknown         NIKKI\abc                                               0:00:02 N/A                                                                     
chrome.exe                    3052 Console                    1     68,420 K Unknown         NIKKI\abc                                               0:00:14 N/A                                                                     
chrome.exe                    6324 Console                    1    123,860 K Unknown         NIKKI\abc                                               0:00:18 N/A                                                                     
chrome.exe                    6688 Console                    1    120,984 K Unknown         NIKKI\abc                                               0:00:02 N/A                                                                     
chrome.exe                    5788 Console                    1    125,204 K Unknown         NIKKI\abc                                               0:00:02 N/A                                                                     
chrome.exe                    6444 Console                    1     86,248 K Unknown         NIKKI\abc                                               0:00:10 N/A                                                                     
chrome.exe                    4960 Console                    1     86,664 K Unknown         NIKKI\abc                                               0:00:12 N/A                                                                     
chrome.exe                    1128 Console                    1    146,632 K Unknown         NIKKI\abc                                               0:00:06 N/A                                                                     
chrome.exe                    5012 Console                    1    138,016 K Unknown         NIKKI\abc                                               0:00:04 N/A                                                                     
chrome.exe                    5200 Console                    1    126,972 K Unknown         NIKKI\abc                                               0:00:02 N/A                                                                     
notepad++.exe                 6504 Console                    1     20,324 K Running         NIKKI\abc                                               0:00:01 C:\Users\abc\Desktop\cloud\list(3).txt - Notepad++                      
cmd.exe                       5852 Console                    1      2,280 K Running         NIKKI\abc                                               0:00:00 C:\Windows\system32\cmd.exe - tasklist  /v                              
conhost.exe                   5680 Console                    1      4,388 K Running         NIKKI\abc                                               0:00:00 CicMarshalWnd                                                           
tasklist.exe                  6600 Console                    1      5,024 K Unknown         NIKKI\abc                                               0:00:00 N/A                                                                     
dllhost.exe                   5652 Console                    1      3,784 K Running         NIKKI\abc                                               0:00:00 OleMainThreadWndName                                                    
WmiPrvSE.exe                  6400 Services                   0      4,688 K Unknown         N/A                                                     0:00:00 N/A                                                                     
