
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
BtvStack.exe                  4896 Console                    1     15,584 K Running         Dobby\Yashika                                           0:00:00 BtvStack                                                                
ActivateDesktop.exe           4924 Console                    1      5,248 K Running         Dobby\Yashika                                           0:00:00 N/A                                                                     
quickset.exe                  4956 Console                    1     19,104 K Running         Dobby\Yashika                                           0:00:00 QuickSet                                                                
Connectify.exe                5084 Console                    1     99,948 K Running         Dobby\Yashika                                           0:00:07 N/A                                                                     
WmiPrvSE.exe                  3684 Services                   0     12,364 K Unknown         N/A                                                     0:00:01 N/A                                                                     
wweb32.exe                    4560 Console                    1      8,028 K Running         Dobby\Yashika                                           0:00:00 N/A                                                                     
chrome.exe                    4440 Console                    1     41,724 K Running         Dobby\Yashika                                           0:00:02 N/A                                                                     
chrome.exe                    2736 Console                    1     14,524 K Not Responding  Dobby\Yashika                                           0:00:00 AngleHiddenWindow                                                       
MySQLNotifier.exe             5164 Console                    1     28,208 K Running         Dobby\Yashika                                           0:00:00 GDI+ Window                                                             
Dropbox.exe                   5372 Console                    1     86,852 K Running         Dobby\Yashika                                           0:00:03 Press enter to open the Dropbox menu                                    
chrome.exe                    5492 Console                    1     30,688 K Unknown         Dobby\Yashika                                           0:00:01 N/A                                                                     
chrome.exe                    5508 Console                    1     36,700 K Unknown         Dobby\Yashika                                           0:00:01 N/A                                                                     
avgui.exe                     5608 Console                    1     19,596 K Running         Dobby\Yashika                                           0:00:01 N/A                                                                     
KiesTrayAgent.exe             5740 Console                    1      7,732 K Running         Dobby\Yashika                                           0:00:00 KiesTrayAgent                                                           
ctfmon.exe                    5816 Console                    1      4,692 K Running         Dobby\Yashika                                           0:00:00 N/A                                                                     
jusched.exe                   5828 Console                    1      5,000 K Not Responding  Dobby\Yashika                                           0:00:00 OleMainThreadWndName                                                    
tasklist.exe                  5192 Console                    1      6,476 K Unknown         Dobby\Yashika                                           0:00:00 N/A                                                                     
