
"(PDH-CSV 4.0)","\\NIKKI\Processor(_Total)\% Processor Time"
"05/04/2015 16:05:08.143","70.361505"
"05/04/2015 16:05:09.143","68.801585"
"05/04/2015 16:05:10.144","32.211243"
"05/04/2015 16:05:11.144","44.622808"
"05/04/2015 16:05:12.150","65.145767"
"05/04/2015 16:05:13.152","57.924213"
"05/04/2015 16:05:14.152","32.143441"
"05/04/2015 16:05:15.153","60.222025"
"05/04/2015 16:05:16.153","39.163090"
"05/04/2015 16:05:17.153","22.003961"
"05/04/2015 16:05:18.153","20.444041"
"05/04/2015 16:05:19.153","32.923407"
"05/04/2015 16:05:20.153","12.644437"
"05/04/2015 16:05:21.153","14.204358"
"05/04/2015 16:05:22.153","42.575728"
"05/04/2015 16:05:23.390","24.029840"
"05/04/2015 16:05:24.468","44.678126"
"05/04/2015 16:05:25.470","24.494857"
"05/04/2015 16:05:26.470","28.243644"
"05/04/2015 16:05:27.470","38.444682"
"05/04/2015 16:05:28.475","27.752676"
"05/04/2015 16:05:29.475","44.622808"
"05/04/2015 16:05:30.475","25.903768"
"05/04/2015 16:05:31.495","48.767306"
"05/04/2015 16:05:32.561","69.973360"
"05/04/2015 16:05:33.561","64.901778"
"05/04/2015 16:05:34.561","59.442060"
"05/04/2015 16:05:35.561","36.043248"
"05/04/2015 16:05:36.561","39.163090"
"05/04/2015 16:05:37.561","43.842852"
"05/04/2015 16:05:38.561","50.082535"
"05/04/2015 16:05:39.561","30.583531"
"05/04/2015 16:05:40.561","41.502966"
"05/04/2015 16:05:41.561","40.723011"
"05/04/2015 16:05:42.561","46.182738"
"05/04/2015 16:05:43.578","73.924629"
"05/04/2015 16:05:44.578","36.823204"
"05/04/2015 16:05:45.578","22.783927"
"05/04/2015 16:05:46.578","47.742649"
"05/04/2015 16:05:47.580","46.290157"
"05/04/2015 16:05:48.580","30.583521"
"05/04/2015 16:05:49.581","32.143451"
"05/04/2015 16:05:50.581","33.703362"
"05/04/2015 16:05:51.583","40.841327"
"05/04/2015 16:05:52.587","57.273090"
"05/04/2015 16:05:53.588","56.365854"
"05/04/2015 16:05:54.591","37.789795"
"05/04/2015 16:05:55.600","49.754781"
"05/04/2015 16:05:56.637","82.700980"
"05/04/2015 16:05:57.650","95.380294"
"05/04/2015 16:05:58.656","68.212347"
"05/04/2015 16:05:59.656","61.781946"
"05/04/2015 16:06:00.659","73.560663"
"05/04/2015 16:06:01.668","89.950952"
"05/04/2015 16:06:02.674","75.190126"
"05/04/2015 16:06:03.692","73.950242"
"05/04/2015 16:06:04.694","43.954941"
"05/04/2015 16:06:05.694","52.422421"
"05/04/2015 16:06:06.696","47.068561"
"05/04/2015 16:06:07.697","42.282931"
"05/04/2015 16:06:08.699","59.523013"
"05/04/2015 16:06:09.707","63.632792"
"05/04/2015 16:06:10.707","41.502976"
"05/04/2015 16:06:11.709","78.226431"
"05/04/2015 16:06:12.713","77.448798"
"05/04/2015 16:06:13.717","90.677764"
"05/04/2015 16:06:14.722","84.478400"
"05/04/2015 16:06:15.725","54.897606"
"05/04/2015 16:06:16.725","65.681743"
"05/04/2015 16:06:17.726","32.211236"
"05/04/2015 16:06:18.726","19.664075"
"05/04/2015 16:06:19.726","29.803565"
"05/04/2015 16:06:20.727","50.911591"
"05/04/2015 16:06:21.732","86.819749"
"05/04/2015 16:06:22.750","47.082340"
"05/04/2015 16:06:23.752","75.091085"
"05/04/2015 16:06:24.753","18.884120"
"05/04/2015 16:06:25.753","49.302570"
"05/04/2015 16:06:26.753","22.783927"
"05/04/2015 16:06:27.753","28.243644"
"05/04/2015 16:06:28.753","43.062887"
"05/04/2015 16:06:29.753","30.583531"
"05/04/2015 16:06:30.753","65.681743"
"05/04/2015 16:06:31.754","31.432057"
"05/04/2015 16:06:32.755","34.548775"
"05/04/2015 16:06:33.757","27.608461"
"05/04/2015 16:06:34.757","43.062897"
"05/04/2015 16:06:35.772","76.178546"
"05/04/2015 16:06:36.772","80.500995"
"05/04/2015 16:06:37.772","70.361505"
"05/04/2015 16:06:38.772","71.141461"
"05/04/2015 16:06:39.774","85.210337"
"05/04/2015 16:06:40.791","96.932309"
"05/04/2015 16:06:41.803","98.460098"
"05/04/2015 16:06:42.814","82.993926"
"05/04/2015 16:06:43.815","78.962103"
"05/04/2015 16:06:44.815","85.960713"
"05/04/2015 16:06:45.815","76.624563"
"05/04/2015 16:06:46.839","77.889693"
"05/04/2015 16:06:47.839","81.280951"
"05/04/2015 16:06:48.839","70.391113"
"05/04/2015 16:06:49.841","72.755869"
"05/04/2015 16:06:50.846","65.818472"
"05/04/2015 16:06:51.851","82.150164"
"05/04/2015 16:06:52.858","39.585994"
"05/04/2015 16:06:53.858","30.583521"
"05/04/2015 16:06:54.858","43.062897"
"05/04/2015 16:06:55.875","84.661545"
"05/04/2015 16:06:56.952","83.343460"
"05/04/2015 16:06:57.960","71.370508"
"05/04/2015 16:06:59.000","68.501600"
"05/04/2015 16:07:00.129","98.642367"
"05/04/2015 16:07:01.161","71.455450"
"05/04/2015 16:07:02.161","30.583531"
"05/04/2015 16:07:03.164","49.454209"
"05/04/2015 16:07:04.168","74.389366"
"05/04/2015 16:07:05.173","42.512878"
"05/04/2015 16:07:06.174","50.911581"
"05/04/2015 16:07:07.174","34.483328"
"05/04/2015 16:07:08.174","34.483328"
"05/04/2015 16:07:09.174","47.742659"
"05/04/2015 16:07:10.175","28.315325"
"05/04/2015 16:07:11.175","23.563882"
"05/04/2015 16:07:12.175","12.644437"
"05/04/2015 16:07:13.176","7.277436"
"05/04/2015 16:07:14.184","30.360676"
