
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
chrome.exe                    5368 Console                    1      1,956 K Unknown         NIKKI\abc                                               0:00:03 N/A                                                                     
chrome.exe                    6480 Console                    1      6,128 K Unknown         NIKKI\abc                                               0:00:01 N/A                                                                     
chrome.exe                    6856 Console                    1     37,588 K Unknown         NIKKI\abc                                               0:01:03 N/A                                                                     
chrome.exe                    3052 Console                    1     28,444 K Unknown         NIKKI\abc                                               0:04:43 N/A                                                                     
chrome.exe                    6324 Console                    1    105,908 K Unknown         NIKKI\abc                                               0:29:55 N/A                                                                     
chrome.exe                    6688 Console                    1      2,008 K Unknown         NIKKI\abc                                               0:00:05 N/A                                                                     
chrome.exe                    5788 Console                    1     36,604 K Unknown         NIKKI\abc                                               0:00:59 N/A                                                                     
chrome.exe                    6444 Console                    1     23,852 K Unknown         NIKKI\abc                                               0:04:44 N/A                                                                     
chrome.exe                    5200 Console                    1     19,416 K Unknown         NIKKI\abc                                               0:00:39 N/A                                                                     
notepad++.exe                 6504 Console                    1      7,240 K Running         NIKKI\abc                                               0:00:54 C:\Users\abc\li.txt - Notepad++                                         
cmd.exe                       5852 Console                    1         76 K Running         NIKKI\abc                                               0:00:00 C:\Windows\system32\cmd.exe                                             
conhost.exe                   5680 Console                    1        740 K Running         NIKKI\abc                                               0:00:01 CicMarshalWnd                                                           
perfmon.exe                   6320 Console                    1     18,220 K Running         NIKKI\abc                                               0:14:28 Resource Monitor                                                        
cmd.exe                       6192 Console                    1        812 K Running         NIKKI\abc                                               0:00:00 C:\Windows\system32\cmd.exe                                             
conhost.exe                   6036 Console                    1      1,944 K Running         NIKKI\abc                                               0:00:02 CicMarshalWnd                                                           
dexpot.exe                    6448 Console                    1      4,264 K Running         NIKKI\abc                                               0:00:05 Dexpot                                                                  
wscript.exe                   5392 Console                    1        368 K Running         NIKKI\abc                                               0:00:00 N/A                                                                     
cmd.exe                       4252 Console                    1        116 K Running         NIKKI\abc                                               0:00:00 C:\Windows\System32\cmd.exe                                             
conhost.exe                   7692 Console                    1        352 K Unknown         NIKKI\abc                                               0:00:00 N/A                                                                     
typeperf.exe                  7600 Console                    1      1,052 K Unknown         NIKKI\abc                                               0:00:01 N/A                                                                     
chrome.exe                    5016 Console                    1     13,832 K Unknown         NIKKI\abc                                               0:00:07 N/A                                                                     
chrome.exe                    4504 Console                    1    142,788 K Unknown         NIKKI\abc                                               0:01:40 N/A                                                                     
chrome.exe                    5120 Console                    1     28,920 K Unknown         NIKKI\abc                                               0:00:01 N/A                                                                     
netbeans.exe                  4004 Console                    1    324,408 K Running         NIKKI\abc                                               0:06:10 HIDS - NetBeans IDE 8.0                                                 
taskmgr.exe                   6232 Console                    1     11,380 K Running         NIKKI\abc                                               0:00:24 Windows Task Manager                                                    
chrome.exe                    2540 Console                    1    177,220 K Unknown         NIKKI\abc                                               0:01:46 N/A                                                                     
chrome.exe                    7560 Console                    1    150,928 K Unknown         NIKKI\abc                                               0:00:26 N/A                                                                     
cmd.exe                       4220 Console                    1      2,212 K Running         NIKKI\abc                                               0:00:00 C:\Windows\system32\cmd.exe - tasklist  /v                              
conhost.exe                   2224 Console                    1      4,820 K Running         NIKKI\abc                                               0:00:00 CicMarshalWnd                                                           
devcpp.exe                    5900 Console                    1     21,776 K Running         NIKKI\abc                                               0:00:09 Dev-C++                                                                 
devcpp.exe                    4888 Console                    1     34,216 K Running         NIKKI\abc                                               0:00:12 xas.cpp - [Executing] - Dev-C++                                         
devcpp.exe                    6388 Console                    1     31,208 K Running         NIKKI\abc                                               0:00:10 xasw.cpp - [Executing] - Dev-C++                                        
devcpp.exe                    6796 Console                    1     31,480 K Running         NIKKI\abc                                               0:00:10 xasq.cpp - [Executing] - Dev-C++                                        
devcpp.exe                    6424 Console                    1     31,536 K Running         NIKKI\abc                                               0:00:10 xasc.cpp - [Executing] - Dev-C++                                        
devcpp.exe                    2032 Console                    1     32,004 K Running         NIKKI\abc                                               0:00:10 qwd.cpp - [Executing] - Dev-C++                                         
devcpp.exe                    1072 Console                    1     31,608 K Running         NIKKI\abc                                               0:00:10 ewr.cpp - [Executing] - Dev-C++                                         
devcpp.exe                    2692 Console                    1     21,364 K Running         NIKKI\abc                                               0:00:09 Dev-C++                                                                 
devcpp.exe                    6228 Console                    1     16,308 K Running         NIKKI\abc                                               0:00:09 Dev-C++                                                                 
devcpp.exe                    6064 Console                    1     16,340 K Running         NIKKI\abc                                               0:00:09 Dev-C++                                                                 
SearchProtocolHost.exe        4052 Services                   0      5,660 K Unknown         N/A                                                     0:00:00 N/A                                                                     
ConsolePauser.exe             3096 Console                    1      1,564 K Running         NIKKI\abc                                               0:00:00 C:\Users\abc\Desktop\delete\xas.exe                                     
conhost.exe                   5004 Console                    1      4,620 K Running         NIKKI\abc                                               0:00:39 CicMarshalWnd                                                           
xas.exe                       6560 Console                    1      1,548 K Unknown         NIKKI\abc                                               0:00:07 N/A                                                                     
ConsolePauser.exe             6592 Console                    1      1,556 K Running         NIKKI\abc                                               0:00:00 C:\Users\abc\Desktop\delete\xasw.exe                                    
conhost.exe                   7516 Console                    1      4,572 K Running         NIKKI\abc                                               0:00:24 CicMarshalWnd                                                           
xasw.exe                      6860 Console                    1      1,540 K Unknown         NIKKI\abc                                               0:00:04 N/A                                                                     
SearchFilterHost.exe          7204 Services                   0      4,268 K Unknown         N/A                                                     0:00:00 N/A                                                                     
ConsolePauser.exe             3192 Console                    1      1,560 K Running         NIKKI\abc                                               0:00:00 C:\Users\abc\Desktop\delete\xasq.exe                                    
conhost.exe                   4392 Console                    1      4,568 K Running         NIKKI\abc                                               0:00:14 CicMarshalWnd                                                           
xasq.exe                       700 Console                    1      1,540 K Unknown         NIKKI\abc                                               0:00:02 N/A                                                                     
audiodg.exe                   7228 Services                   0     13,608 K Unknown         N/A                                                     0:00:00 N/A                                                                     
ConsolePauser.exe             6120 Console                    1      1,564 K Running         NIKKI\abc                                               0:00:00 C:\Users\abc\Desktop\delete\xasc.exe                                    
conhost.exe                   4272 Console                    1      4,520 K Running         NIKKI\abc                                               0:00:20 CicMarshalWnd                                                           
xasc.exe                      3328 Console                    1      1,548 K Unknown         NIKKI\abc                                               0:00:02 N/A                                                                     
ConsolePauser.exe             4260 Console                    1      1,560 K Running         NIKKI\abc                                               0:00:00 C:\Users\abc\Desktop\delete\qwd.exe                                     
conhost.exe                   4432 Console                    1      4,484 K Running         NIKKI\abc                                               0:00:04 CicMarshalWnd                                                           
qwd.exe                       4776 Console                    1      1,540 K Unknown         NIKKI\abc                                               0:00:00 N/A                                                                     
ConsolePauser.exe             6948 Console                    1      1,560 K Running         NIKKI\abc                                               0:00:00 C:\Users\abc\Desktop\delete\ewr.exe                                     
conhost.exe                   3376 Console                    1      4,548 K Running         NIKKI\abc                                               0:00:02 CicMarshalWnd                                                           
ewr.exe                       7760 Console                    1      1,544 K Unknown         NIKKI\abc                                               0:00:00 N/A                                                                     
tasklist.exe                  2964 Console                    1      6,128 K Unknown         NIKKI\abc                                               0:00:00 N/A                                                                     
WmiPrvSE.exe                  6224 Services                   0      4,784 K Unknown         N/A                                                     0:00:00 N/A                                                                     
skypec2cautoupdatesvc.exe	  1520 Services					  1  1898424.0 K Unknown		 N/A												     0:00:24 CicMarshalWnd                                                           
