
"(PDH-CSV 4.0)","\\NIKKI\Processor(_Total)\% Processor Time"
"05/04/2015 13:44:41.574","28.243644"
"05/04/2015 13:44:42.574","28.243644"
"05/04/2015 13:44:43.574","18.884120"
"05/04/2015 13:44:44.574","18.884120"
"05/04/2015 13:44:45.574","34.483328"
"05/04/2015 13:44:46.574","18.104154"
"05/04/2015 13:44:47.574","17.324199"
"05/04/2015 13:44:48.574","15.764278"
"05/04/2015 13:44:49.575","26.683724"
"05/04/2015 13:44:50.575","15.764278"
"05/04/2015 13:44:51.575","22.003961"
"05/04/2015 13:44:52.575","18.884120"
"05/04/2015 13:44:53.575","30.583531"
"05/04/2015 13:44:54.575","17.324199"
"05/04/2015 13:44:55.575","23.563882"
"05/04/2015 13:44:56.575","18.104154"
"05/04/2015 13:44:57.575","19.664085"
"05/04/2015 13:44:58.575","31.363486"
"05/04/2015 13:44:59.575","26.683724"
"05/04/2015 13:45:00.575","20.444041"
"05/04/2015 13:45:01.575","19.664075"
"05/04/2015 13:45:02.575","18.104164"
"05/04/2015 13:45:03.575","27.463679"
"05/04/2015 13:45:04.575","36.043248"
"05/04/2015 13:45:05.575","24.343848"
"05/04/2015 13:45:06.576","14.984313"
"05/04/2015 13:45:07.576","19.664085"
"05/04/2015 13:45:08.576","12.644437"
"05/04/2015 13:45:09.576","15.764278"
"05/04/2015 13:45:10.576","25.123803"
"05/04/2015 13:45:11.576","29.803565"
"05/04/2015 13:45:12.576","17.324199"
"05/04/2015 13:45:13.576","19.664075"
"05/04/2015 13:45:14.577","41.561417"
"05/04/2015 13:45:15.589","19.552212"
"05/04/2015 13:45:16.612","17.253709"
"05/04/2015 13:45:17.627","19.234876"
"05/04/2015 13:45:18.630","15.238600"
"05/04/2015 13:45:19.637","22.622973"
"05/04/2015 13:45:20.641","21.459629"
"05/04/2015 13:45:21.641","19.664075"
"05/04/2015 13:45:22.641","17.324199"
"05/04/2015 13:45:23.642","23.563882"
"05/04/2015 13:45:24.642","14.984323"
"05/04/2015 13:45:25.642","20.444041"
"05/04/2015 13:45:26.642","14.204358"
"05/04/2015 13:45:27.642","36.823204"
"05/04/2015 13:45:28.642","20.444041"
"05/04/2015 13:45:29.642","17.324199"
"05/04/2015 13:45:30.642","14.204358"
"05/04/2015 13:45:31.642","26.683724"
"05/04/2015 13:45:32.642","22.003961"
"05/04/2015 13:45:33.642","11.084516"
"05/04/2015 13:45:34.652","25.092920"
"05/04/2015 13:45:35.652","14.204358"
"05/04/2015 13:45:36.652","11.864471"
"05/04/2015 13:45:37.652","28.243644"
"05/04/2015 13:45:38.652","24.343848"
"05/04/2015 13:45:39.652","18.104154"
"05/04/2015 13:45:40.652","22.783927"
"05/04/2015 13:45:41.653","24.343838"
"05/04/2015 13:45:42.653","16.544244"
"05/04/2015 13:45:43.653","18.104154"
"05/04/2015 13:45:44.653","17.324199"
"05/04/2015 13:45:45.653","16.544244"
"05/04/2015 13:45:46.653","14.204358"
"05/04/2015 13:45:47.653","23.563882"
"05/04/2015 13:45:48.653","15.764278"
"05/04/2015 13:45:49.653","17.324199"
"05/04/2015 13:45:50.653","18.104154"
"05/04/2015 13:45:51.653","25.903768"
"05/04/2015 13:45:52.653","14.984313"
"05/04/2015 13:45:53.653","14.984323"
"05/04/2015 13:45:54.653","12.644437"
"05/04/2015 13:45:55.653","25.123803"
"05/04/2015 13:45:56.653","20.444041"
"05/04/2015 13:45:57.653","21.223996"
"05/04/2015 13:45:58.654","14.204358"
"05/04/2015 13:45:59.654","24.343848"
"05/04/2015 13:46:00.654","20.444041"
"05/04/2015 13:46:01.654","17.324199"
"05/04/2015 13:46:02.654","14.984313"
"05/04/2015 13:46:03.654","13.424402"
"05/04/2015 13:46:04.654","22.003961"
"05/04/2015 13:46:05.654","16.544234"
"05/04/2015 13:46:06.654","16.544244"
"05/04/2015 13:46:07.654","21.223996"
"05/04/2015 13:46:08.654","13.424402"
"05/04/2015 13:46:09.654","15.764278"
"05/04/2015 13:46:10.654","34.483328"
"05/04/2015 13:46:11.654","17.324199"
"05/04/2015 13:46:12.654","28.243644"
"05/04/2015 13:46:13.654","24.343838"
"05/04/2015 13:46:14.654","16.544244"
"05/04/2015 13:46:15.654","12.644437"
"05/04/2015 13:46:16.655","22.003961"
